card_id,company,card_name,card_type,image_url,link_url
AAP0068,삼성,동방마트삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0068
AAP0069,삼성,동부상호저축은행 삼성애니패스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0069
AAP0070,삼성,동부상호저축은행 삼성티클래스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0070
AAP0073,삼성,동부프로미 삼성티클래스앤오일카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0073
AAP0074,삼성,동서백화점삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0074
AAP0075,삼성,동서백화점삼성지엔미카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0075
AAP0076,삼성,동서백화점삼성티클래스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0076
AAP0082,삼성,동진레저삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0082
AAP0083,삼성,두산가족사랑 삼성더아파트카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0083
AAP0084,삼성,두산가족사랑 삼성카앤모아카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0084
AAP0086,삼성,삼성디지털프라자 삼성티클래스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0086
AAP0087,삼성,삼성경남디지털플라자빅보너스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0087
AAP0088,삼성,삼성경남디지털플라자애니패스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0088
AAP0089,삼성,삼성경남디지털플라자지엔미카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0089
AAP0090,삼성,삼성울산디지털플라자빅보너스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0090
AAP0091,삼성,삼성울산디지털플라자지엔미카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0091
AAP0092,삼성,디큐브 삼성더아파트카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0092
AAP0093,삼성,RAUME O,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0093
AAP0094,삼성,RAUME O (스카이패스),,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0094
AAP0095,삼성,삼성라이프앤패스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0095
AAP0096,삼성,삼성럭투유플러스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0096
AAP0098,삼성,롯데관광 삼성빅앤빅카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0098
AAP0100,삼성,롯데손해보험삼성티클래스앤오일카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0100
AAP0101,삼성,롯데월드삼성애니패스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0101
AAP0102,삼성,롯데월드삼성지엔미카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0102
AAP0103,삼성,삼성루와드뱅카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0103
