benefit_id,card_id,row_type,benefit_group,benefit_title,benefit_summary,category,category_id,on_offline,benefit_type,benefit_value,benefit_unit,target_merchants,excluded_merchants,performance_level,performance_min,performance_max,min_amount,max_count,max_limit,max_limit_unit,benefit_content,updated_at
ME4_B0034,ME4,상세혜택,M포인트 적립,추가 혜택,,"온라인쇼핑, 해외, 외식","1, 19, 16",Both,포인트,5.0,%,"SSG.COM, 네이버쇼핑, 11번가, G마켓, 쿠팡, 옥션, 컬리",쿠팡이츠,,1000000,,,,10000,포인트,네이버쇼핑의 경우 네이버 도메인(naver.com)으로 확인되는 가맹점에 한해 적립,2026-05-08 13:52:25
ME4_B0035,ME4,상세혜택,M포인트 적립,추가 혜택,,"온라인쇼핑, 해외, 외식","1, 19, 16",Both,포인트,5.0,%,"SSG.COM, 네이버쇼핑, 11번가, G마켓, 쿠팡, 옥션, 컬리",쿠팡이츠,,1000000,,,,10000,포인트,쿠팡의 경우 쿠팡이츠 결제 건은 적립 제외,2026-05-08 13:52:25
ME4_B0036,ME4,상세혜택,M포인트 적립,추가 혜택,,"온라인쇼핑, 해외, 외식","1, 19, 16",Both,포인트,5.0,%,"SSG.COM, 네이버쇼핑, 11번가, G마켓, 쿠팡, 옥션, 컬리",쿠팡이츠,,1000000,,,,10000,포인트,"대상 온라인 쇼핑몰의 공식 홈페이지 및 앱 내 결제 건에 한해 적립 적용되며, 상품 선택 시 연결된 다른 사이트 및 앱에서 결제한 경우 적립 제외",2026-05-08 13:52:25
ME4_B0037,ME4,유의사항,M포인트 적립,추가 혜택,,,,,,,,,,,,,,,,,공통 유의사항,2026-05-08 13:52:25
ME4_B0038,ME4,유의사항,M포인트 적립,추가 혜택,,,,,,,,,,,,,,,,,추가 혜택 적용 시 기본 혜택은 중복 제공되지 않음,2026-05-08 13:52:25
ME4_B0039,ME4,유의사항,M포인트 적립,추가 혜택,,,,,,,,,,,,,,,,,국제브랜드 수수료 및 해외서비스 수수료는 적립 제외,2026-05-08 13:52:25
ME4_B0040,ME4,유의사항,M포인트 적립,추가 혜택,,,,,,,,,,,,,,,,,"해외 가맹점 이용 시 별도의 수수료가 부과되니, 국제브랜드 수수료 관련 자세한 내용은 상품 가이드북 ‘카드 이용 유의사항’ 참고",2026-05-08 13:52:25
ME4_B0041,ME4,유의사항,M포인트 적립,추가 혜택,,,,,,,,,,,,,,,,,모든 가맹점은 현대카드 가맹점 등록 기준,2026-05-08 13:52:25
ME4_B0042,ME4,유의사항,M포인트 적립,공통 유의사항,,,,,,,,,,,,,,,,,공통 유의사항,2026-05-08 13:52:25
ME4_B0043,ME4,유의사항,M포인트 적립,공통 유의사항,,,,,,,,,,,,,,,,,추가 혜택 적용 시 기본 혜택은 중복 제공되지 않음,2026-05-08 13:52:25
ME4_B0044,ME4,유의사항,M포인트 적립,공통 유의사항,,,,,,,,,,,,,,,,,국제브랜드 수수료 및 해외서비스 수수료는 적립 제외,2026-05-08 13:52:25
ME4_B0045,ME4,유의사항,M포인트 적립,공통 유의사항,,,,,,,,,,,,,,,,,"해외 가맹점 이용 시 별도의 수수료가 부과되니, 국제브랜드 수수료 관련 자세한 내용은 상품 가이드북 ‘카드 이용 유의사항’ 참고",2026-05-08 13:52:25
ME4_B0046,ME4,유의사항,M포인트 적립,공통 유의사항,,,,,,,,,,,,,,,,,모든 가맹점은 현대카드 가맹점 등록 기준,2026-05-08 13:52:25
ME4_B0047,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,이용 금액 산정 기준,2026-05-08 13:52:25
ME4_B0048,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,전월 이용 금액 산정 기준,2026-05-08 13:52:25
ME4_B0049,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,전월 이용 금액은 전월 1일~말일까지 현대카드M(본인+가족 카드)의 일시불 및 할부 이용 금액임,2026-05-08 13:52:25
ME4_B0050,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"할부, 일부결제금액이월약정(리볼빙) 이용 시 최초 승인일 기준으로 해당월의 이용 금액에 포함",2026-05-08 13:52:25
ME4_B0051,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"전표매입 지연, 매출 취소의 경우 이용 금액이 달라질 수 있음",2026-05-08 13:52:25
ME4_B0052,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"매출 취소 시 취소 발생월이 아닌 승인월 이용 금액에서 제외되며, 취소 금액으로 전월 이용 금액 미충족 시 당월 적립 혜택 미제공",2026-05-08 13:52:25
ME4_B0053,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,대중교통 등 사후 승인 가맹점 이용 금액과 해외 이용 금액은 매출일자 기준으로 해당월의 이용 금액에 포함,2026-05-08 13:52:25
ME4_B0054,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,전월 이용 금액 합산 제외 기준,2026-05-08 13:52:25
ME4_B0055,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"장기카드대출(카드론), 단기카드대출(현금서비스), 연회비, 제수수료, 이자",2026-05-08 13:52:25
ME4_B0056,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,국제브랜드 수수료 및 해외서비스 수수료,2026-05-08 13:52:25
ME4_B0057,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"공과금 납부액(국세, 관세, 지방세, 지방세외수입, 상하수도 요금, 벌과금, 과태료, 인지세, 송달료, 민원 발급 수수료 등 국가 또는 공공단체가 부과하는 부담금)",2026-05-08 13:52:25
ME4_B0058,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,상품권 등 현금성 유가증권 구매 및 선불 카드 구매·충전 금액,2026-05-08 13:52:25
ME4_B0059,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"현대카드M 이용 금액만 인정되며, 그 외 모든 카드(현대카드M(구) 포함) 이용 금액은 합산 불가",2026-05-08 13:52:25
ME4_B0060,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,M포인트 적립 기준,2026-05-08 13:52:25
ME4_B0061,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,적립 대상,2026-05-08 13:52:25
ME4_B0062,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,국내외에서 이용한 모든 물품 구매 및 서비스 이용 대금의 입금액,2026-05-08 13:52:25
ME4_B0063,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,기본 혜택 및 추가 혜택 적립의 경우 매출 건별로 소수점 이하 반올림 후 적립,2026-05-08 13:52:25
ME4_B0064,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"예시 : 기본 혜택 대상점인 국내외 가맹점에서 현대카드M으로 4,639원 결제 시 70 M포인트 적립 (4,639 x 1.5% = 69.58의 소수점 이하 반올림)",2026-05-08 13:52:25
ME4_B0065,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,적립 제외 기준,2026-05-08 13:52:25
ME4_B0066,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"장기카드대출(카드론), 단기카드대출(현금서비스), 연회비, 제수수료, 이자",2026-05-08 13:52:25
ME4_B0067,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,국제브랜드 수수료 및 해외서비스 수수료,2026-05-08 13:52:25
ME4_B0068,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"공과금 납부액(국세, 관세, 지방세, 지방세외수입, 상하수도 요금, 벌과금, 과태료, 인지세, 송달료, 민원 발급 수수료 등 국가 또는 공공단체가 부과하는 부담금)",2026-05-08 13:52:25
ME4_B0069,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"전기 요금, 도시가스 요금, 아파트 관리비, 자동납부서비스 이용 수수료",2026-05-08 13:52:25
ME4_B0070,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"사립유치원 교육비 납입금, 초·중·고교 학교 납입금, 대학·대학원 등록금 납부 결제건",2026-05-08 13:52:25
ME4_B0071,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,상품권 등 현금성 유가증권 구매 및 선불 카드 구매·충전 금액,2026-05-08 13:52:25
ME4_B0072,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"건강보험, 국민연금, 고용보험, 산재보험 및 장애인 고용 부담금",2026-05-08 13:52:25
ME4_B0073,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"고속도로 통행 요금, 후불하이패스 카드 이용 금액, 고속버스(차내 단말기 및 고속버스 앱 결제 포함)",2026-05-08 13:52:25
ME4_B0074,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,현대카드의 모든 할인 서비스 및 무이자 할부 이용 금액,2026-05-08 13:52:25
ME4_B0075,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,적립 시기,2026-05-08 13:52:25
ME4_B0076,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,이용 대금 결제일 또는 입금 완료된 날로부터 2~10일 이내 적립,2026-05-08 13:52:25
ME4_B0077,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"선입금하는 경우, 입금 완료된 날로부터 2~10일 이내 적립",2026-05-08 13:52:25
ME4_B0078,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,연체 대금 입금액에 대한 M포인트는 입금 완료된 날로부터 10일 이후 확인 가능,2026-05-08 13:52:25
ME4_B0079,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,유효 기간,2026-05-08 13:52:25
ME4_B0080,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,최초 M포인트 적립월로부터 60개월(5년)간 유효,2026-05-08 13:52:25
ME4_B0081,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,미사용한 M포인트는 적립 60개월 경과 후 첫 일요일에 선입선출에 의거 월 단위로 자동 소멸,2026-05-08 13:52:25
ME4_B0082,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,유효 기간은 이용대금명세서 및 현대카드 홈페이지 내 명시,2026-05-08 13:52:25
ME4_B0083,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,적립 관리 기준,2026-05-08 13:52:25
ME4_B0084,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"카드 보유한 본인 회원, 가족 회원 기준으로 적립 및 사용됨",2026-05-08 13:52:25
ME4_B0085,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"M포인트 적립카드 2종 이상 보유 시, 각 카드별 적립 대상 금액에 따라 M포인트 산정되며,",2026-05-08 13:52:25
ME4_B0086,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"카드 보유한 본인 회원, 가족 회원 기준으로 통합됨",2026-05-08 13:52:25
ME4_B0087,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,가족 카드 이용 시 본인 회원과 가족 회원 각각 별도 적립,2026-05-08 13:52:25
ME4_B0088,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,기타 기준,2026-05-08 13:52:25
ME4_B0089,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,부분 입금 및 결제일 이후 연체 금액 입금 시 M포인트 적립,2026-05-08 13:52:25
ME4_B0090,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"부분 입금 시 입금 공제 순서에 따라 입금 인정되며, 입금 인정된 금액에 한하여 M포인트 적립",2026-05-08 13:52:25
ME4_B0091,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,부분 무이자 할부 이용 시 수수료 납부 개월에 대한 이용 금액에 한해 M포인트 적립,2026-05-08 13:52:25
ME4_B0092,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"세이브-오토(선지급 포인트 서비스) 등 별도 약정 서비스를 이용하는 경우, 기본 혜택 및 추가 혜택은 해당 서비스의 적립 기준 적용",2026-05-08 13:52:25
ME4_B0093,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"혜택 적용된 결제 건을 월 적립 한도 초과 후 취소할 경우, 한도 초과로 혜택이 적용되지 않은 이전 결제 건에 대해 다음 달 15일경 혜택 적용(월 적립 한도 이내)",2026-05-08 13:52:25
ME4_B0094,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,M포인트 조회,2026-05-08 13:52:25
ME4_B0095,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,홈페이지 > 혜택 > 나만의 혜택 > 보유 포인트,2026-05-08 13:52:25
ME4_B0096,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,앱 > 메뉴(좌측 상단) > 나만의 혜택 > 보유 포인트,2026-05-08 13:52:25
ME4_B0097,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,고객센터 1577-6000,2026-05-08 13:52:25
ME4_B0098,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,유의사항,2026-05-08 13:52:25
ME4_B0099,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"현대카드 모든 할인 서비스 및 무이자 할부 이용 금액은 M포인트 적립 제외되며, 자세한 내용은 '혜택 제공 기준' 참고",2026-05-08 13:52:25
ME4_B0100,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,"가맹점 사정에 따라 일부 가맹점의 경우 현대카드와 가맹점 계약 체결이 없을 수 있으며, 이 경우에도 [가맹점 공동 이용제도]에 따라 회원에 대한 거래 승인을 일반 가맹점과 동일한 방법으로 신용카드 조회기를 이용하여 거래 승인 가능",2026-05-08 13:52:25
ME4_B0101,ME4,유의사항,M포인트 적립,혜택 제공 기준,,,,,,,,,,,,,,,,,공동가맹점 이용 제도 : 여러 신용카드 가맹점에 가입하지 않고 1개 이상의 카드사에만 가맹점으로 가입하면 국내에서 발행된 모든 신용카드에 대하여 신용판매할 수 있는 제도,2026-05-08 13:52:25
ME4_B0102,ME4,상세혜택,우대 서비스,M 긴급적립(선지급 포인트 서비스),최대 50만 M포인트 먼저 받아 사용하고 카드 이용하며 적립되는 M포인트로 상환,,,Online,포인트,500000,포인트,,,,,,,,500000,포인트,최대 50만 M포인트 먼저 받아 사용하고 카드 이용하며 적립되는 M포인트로 상환,2026-05-08 13:52:25
ME4_B0103,ME4,상세혜택,우대 서비스,M 긴급적립(선지급 포인트 서비스),,,,Online,포인트,500000,포인트,,,,,,,,500000,포인트,이용 방법,2026-05-08 13:52:25
ME4_B0104,ME4,상세혜택,우대 서비스,M 긴급적립(선지급 포인트 서비스),,,,Online,포인트,500000,포인트,,,,,,,,500000,포인트,Step 1. 현대카드 앱에서 'M 긴급적립' 선택,2026-05-08 13:52:25
ME4_B0105,ME4,상세혜택,우대 서비스,M 긴급적립(선지급 포인트 서비스),,,,Online,포인트,500000,포인트,,,,,,,,500000,포인트,Step 2. 최대 50만까지 10만 단위로 M포인트 적립,2026-05-08 13:52:25
ME4_B0106,ME4,상세혜택,우대 서비스,M 긴급적립(선지급 포인트 서비스),,,,Online,포인트,500000,포인트,,,,,,,,500000,포인트,Step 3. 적립된 M포인트 사용,2026-05-08 13:52:25
ME4_B0107,ME4,상세혜택,우대 서비스,M 긴급적립(선지급 포인트 서비스),,,,Online,포인트,500000,포인트,,,,,,,,500000,포인트,Step 4. 현대카드M의 기본 혜택 및 추가 혜택으로 매달 적립되는 M포인트로 최대 24개월 동안 상환,2026-05-08 13:52:25
ME4_B0108,ME4,상세혜택,우대 서비스,M 긴급적립(선지급 포인트 서비스),,,,Online,포인트,500000,포인트,,,,,,,,500000,포인트,상환되지 못한 긴급적립 M포인트가 남아있을 경우 별도 현금 청구,2026-05-08 13:52:25
ME4_B0109,ME4,상세혜택,우대 서비스,M 긴급적립(선지급 포인트 서비스),,,,Online,포인트,500000,포인트,,,,,,,,500000,포인트,(보유한 M포인트로 우선 상환 후 잔액은 1 M포인트 = 1원으로 환산하여 청구),2026-05-08 13:52:25
ME4_B0110,ME4,상세혜택,우대 서비스,M 긴급적립(선지급 포인트 서비스),,,,Online,포인트,500000,포인트,,,,,,,,500000,포인트,M 긴급적립(선지급 포인트 서비스) 및 M포인트 사용과 상환에 대한,2026-05-08 13:52:25
ME4_B0111,ME4,상세혜택,우대 서비스,M 긴급적립(선지급 포인트 서비스),,,,Online,포인트,500000,포인트,,,,,,,,500000,포인트,자세한 내용은 해당 약관 및 ‘현대카드 앱 > M 긴급적립’ 참고,2026-05-08 13:52:25
ME4_B0112,ME4,상세혜택,우대 서비스,M 긴급적립(선지급 포인트 서비스),M 긴급적립 상환 예시,,,Online,포인트,500000,포인트,,,,,,,,500000,포인트,M 긴급적립 상환 예시,2026-05-08 13:52:25
