card_id,card_name,card_type,url,image_url
XCUT,X Cut,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=XCUT,https://www.hyundaicard.com/img/com/card/card_XCUT_h.png
XSAV,X Save,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=XSAV,https://www.hyundaicard.com/img/com/card/card_XSAV_h.png
ZWK,Z everyday,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ZWK,https://www.hyundaicard.com/img/com/card/card_ZWK_h.png
ZFE2,Z family Edition2,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ZFE2,https://www.hyundaicard.com/img/com/card/card_ZFE2_h.png
ZWE2,Z work Edition2,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ZWE2,https://www.hyundaicard.com/img/com/card/card_ZWE2_h.png
ZOE2,Z play,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ZOE2,https://www.hyundaicard.com/img/com/card/card_ZOE2_h.png
ZRUP,ZERO Up,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ZRUP,https://www.hyundaicard.com/img/com/card/card_ZRUP_h.png
MZROE3,ZERO Edition3 (포인트형),신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MZROE3,https://www.hyundaicard.com/img/com/card/card_MZROE3_h.png
ZROE3,ZERO Edition3 (할인형),신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ZROE3,https://www.hyundaicard.com/img/com/card/card_ZROE3_h.png
AMPTE2,American Express  The Platinum Card Edition2,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=AMPTE2,https://www.hyundaicard.com/img/com/card/card_AMPTE2_h.png
AMGLE2,American Express Gold Card Edition2,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=AMGLE2,https://www.hyundaicard.com/img/com/card/card_AMGLE2_h.png
AMGRE2,American Express Green Card Edition2,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=AMGRE2,https://www.hyundaicard.com/img/com/card/card_AMGRE2_h.png
NVE2,네이버,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=NVE2,https://www.hyundaicard.com/img/com/card/card_NVE2_h.png
OLVYHC,올리브영,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=OLVYHC,https://www.hyundaicard.com/img/com/card/card_OLVYHC_h.png
NXNX,넥슨,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=NXNX,https://www.hyundaicard.com/img/com/card/card_NXNX_h.png
GEPHC,GS칼텍스,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=GEPHC,https://www.hyundaicard.com/img/com/card/card_GEPHC_h.png
ESPE3,지마켓(스마일카드),신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ESPE3,https://www.hyundaicard.com/img/com/card/card_ESPE3_h.png
SGE2,SSG.COM,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=SGE2,https://www.hyundaicard.com/img/com/card/card_SGE2_h.png
HGEHC,제네시스,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=HGEHC,https://www.hyundaicard.com/img/com/card/card_HGEHC_h.png
NOLHC,NOL·NOL 인터파크(NOL 카드),신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=NOLHC,https://www.hyundaicard.com/img/com/card/card_NOLHC_h.png
SCHC,쏘카,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=SCHC,https://www.hyundaicard.com/img/com/card/card_SCHC_h.png
MLGTE3,LG U+-현대카드M Edition3(통신할인형2.0),신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MLGTE3,https://www.hyundaicard.com/img/com/card/card_MLGTE3_h.png
CWYHC,코웨이 현대카드,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=CWYHC,https://www.hyundaicard.com/img/com/card/card_CWYHC_h.png
LGEHC,LG전자 현대카드,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=LGEHC,https://www.hyundaicard.com/img/com/card/card_LGEHC_h.png
SKIHC,SK인텔릭스 현대카드,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=SKIHC,https://www.hyundaicard.com/img/com/card/card_SKIHC_h.png
CCKHC,쿠쿠 현대카드,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=CCKHC,https://www.hyundaicard.com/img/com/card/card_CCKHC_h.png
CHHHC,청호나이스 현대카드,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=CHHHC,https://www.hyundaicard.com/img/com/card/card_CHHHC_h.png
MCWYE3,coway-현대카드M Edition3,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MCWYE3,https://www.hyundaicard.com/img/com/card/card_MCWYE3_h.png
YSHC,예스24 현대카드,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=YSHC,https://www.hyundaicard.com/img/com/card/card_YSHC_h.png
MCJE2,The CJ-현대카드M Edition2,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MCJE2,https://www.hyundaicard.com/img/com/card/card_MCJE2_h.png
MIMB,iM뱅크-현대카드M,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MIMB,https://www.hyundaicard.com/img/com/card/card_MIMB_h.png
MDBI,DB손해보험 현대카드,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MDBI,https://www.hyundaicard.com/img/com/card/card_MDBI_h.png
MHMFI,현대해상 현대카드,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MHMFI,https://www.hyundaicard.com/img/com/card/card_MHMFI_h.png
SLHC,현대 햇살론카드,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=SLHC,https://www.hyundaicard.com/img/com/card/card_SLHC_h.png
CCM,체크(포인트형),체크,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=CCM,https://www.hyundaicard.com/img/com/card/card_CCM_h.png
CCD,체크(캐시백형),체크,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=CCD,https://www.hyundaicard.com/img/com/card/card_CCD_h.png
CCA,체크(Apple Pay Rewards),체크,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=CCA,https://www.hyundaicard.com/img/com/card/card_CCA_h.png
CCMH,하이브리드(포인트형),체크,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=CCMH,https://www.hyundaicard.com/img/com/card/card_CCMH_h.png
CCDH,하이브리드(캐시백형),체크,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=CCDH,https://www.hyundaicard.com/img/com/card/card_CCDH_h.png
CCAH,하이브리드(Apple Pay Rewards),체크,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=CCAH,https://www.hyundaicard.com/img/com/card/card_CCAH_h.png
ME4,M,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ME4,https://www.hyundaicard.com/img/com/card/card_ME4_h.png
XPE4,X,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=XPE4,https://www.hyundaicard.com/img/com/card/card_XPE4_h.png
HCD,D,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=HCD,https://www.hyundaicard.com/img/com/card/card_HCD_h.png
HCH,H,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=HCH,https://www.hyundaicard.com/img/com/card/card_HCH_h.png
HCO,O,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=HCO,https://www.hyundaicard.com/img/com/card/card_HCO_h.png
HCS,S,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=HCS,https://www.hyundaicard.com/img/com/card/card_HCS_h.png
HCT,T,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=HCT,https://www.hyundaicard.com/img/com/card/card_HCT_h.png
MBTO,MY BUSINESS the Orange,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MBTO,https://img.hyundaicard.com/img/com/card/card_MBTO_h.png
SPMMB,MY BUSINESS Summit,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=SPMMB,https://img.hyundaicard.com/img/com/card/card_SPMMB_h.png
MMBFB,MY BUSINESS M F&B,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MMBFB,https://img.hyundaicard.com/img/com/card/card_MMBFB_h.png
MMBRT,MY BUSINESS M Retail,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MMBRT,https://img.hyundaicard.com/img/com/card/card_MMBRT_h.png
MMBES,MY BUSINESS M E-seller,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MMBES,https://img.hyundaicard.com/img/com/card/card_MMBES_h.png
XMBFB,MY BUSINESS X F&B,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=XMBFB,https://img.hyundaicard.com/img/com/card/card_XMBFB_h.png
XMBRT,MY BUSINESS X Retail,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=XMBRT,https://img.hyundaicard.com/img/com/card/card_XMBRT_h.png
XMBES,MY BUSINESS X E-seller,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=XMBES,https://img.hyundaicard.com/img/com/card/card_XMBES_h.png
MBMZRO,MY BUSINESS ZERO(포인트형),신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MBMZRO,https://img.hyundaicard.com/img/com/card/card_MBMZRO_h.png
MBZRO,MY BUSINESS ZERO(할인형),신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MBZRO,https://img.hyundaicard.com/img/com/card/card_MBZRO_h.png
SMEKKOBP,카카오뱅크 BUSINESS 현대카드 PRIME,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=SMEKKOBP,https://img.hyundaicard.com/img/com/card/card_SMEKKOBP_h.png
SMEKKOB,카카오뱅크 BUSINESS 현대카드,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=SMEKKOB,https://img.hyundaicard.com/img/com/card/card_SMEKKOB_h.png
SMECN,캐시노트 BUSINESS 현대카드,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=SMECN,https://img.hyundaicard.com/img/com/card/card_SMECN_h.png
SLMB,현대 소상공인 특례 햇살론카드,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=SLMB,https://img.hyundaicard.com/img/com/card/card_SLMB_h.png
